,State,share_unemployed_seasonal,share_non_citizen,share_white_poverty,gini_index,share_non_white,share_voters_voted_trump,avg_hatecrimes_per_100k_fbi,2017_hatecrimes_per_100k,2018_hatecrimes_per_100k,2019_hatecrimes_per_100k
0,Alabama,0.06,0.02,0.12,0.472,0.35,0.63,1.806410489,0.3083961890454932,0.0,0.0
1,Alaska,0.064,0.04,0.06,0.422,0.42,0.53,1.656700109,0.5433269266033238,0.954007307695977,1.5114208455163014
2,Arizona,0.063,0.1,0.09,0.455,0.49,0.5,3.413927994,3.907756230021781,2.326466286910754,3.2677061203353888
3,Arkansas,0.052,0.04,0.12,0.458,0.26,0.6,0.869208872,0.2468056299889995,0.45218020424631994,0.3198752344418906
4,California,0.059,0.13,0.09,0.471,0.61,0.33,2.397985899,2.767578270857573,2.689747313295416,2.5694536614980485
5,Colorado,0.04,0.06,0.07,0.457,0.31,0.44,2.804688765,1.90113079618461,2.1952036795242105,3.6807654589958343
6,Connecticut,0.052,0.06,0.06,0.486,0.3,0.41,3.772701469,3.0934868445988277,2.5713763275920742,2.2526033870855877
7,Delaware,0.049,0.05,0.08,0.44,0.37,0.42,1.469979563,3.0147441781651434,1.6624188401927158,2.2592743210880664
9,Florida,0.052,0.09,0.11,0.474,0.46,0.49,0.698070342,0.7067883954509344,0.673913644036519,0.5310537254136478
10,Georgia,0.058,0.08,0.09,0.468,0.48,0.51,0.412011824,0.3017429679639491,0.4118852671228943,1.097861548680096
11,Hawaii,0.034,0.08,0.07,0.433,0.81,0.3,,,4.480565039983951,4.205550916912674
12,Idaho,0.042,0.04,0.11,0.433,0.16,0.59,1.891330529,3.119006578749914,1.3226402660002095,1.3464975914524333
13,Illinois,0.054,0.07,0.07,0.465,0.37,0.39,1.044015798,0.6682839137379124,0.8959489292363626,0.536040298355082
14,Indiana,0.044,0.03,0.12,0.44,0.2,0.57,1.757356567,2.4045839239137186,3.5616755719651527,2.0582320500210765
15,Iowa,0.036,0.03,0.09,0.427,0.15,0.52,0.561395565,0.35429709228376366,0.3287231014104193,0.3188858892356241
16,Kansas,0.044,0.04,0.11,0.445,0.25,0.57,2.143986672,2.861737990716522,2.6941843103200536,2.987477871598201
17,Kentucky,0.05,0.03,0.17,0.466,0.15,0.63,4.207889621,8.505393161798905,5.2831569808039305,3.2734978288413545
18,Louisiana,0.06,0.02,0.12,0.475,0.42,0.58,1.341169554,0.6905838886778771,1.2753197013938111,0.7351810128758471
19,Maine,0.044,,0.12,0.437,0.09,0.45,2.626610924,2.3953763248489603,1.4943171120229766,1.4134675185164245
20,Maryland,0.051,0.08,0.06,0.443,0.5,0.35,1.324839538,0.793103043747729,0.811282186792922,0.29773325746648843
21,Massachusetts,0.046,0.09,0.08,0.475,0.27,0.34,4.801899339,6.370072890342254,5.230181475410421,5.728641064464191
22,Michigan,0.05,0.04,0.09,0.451,0.24,0.48,3.200442266,4.592644054676233,4.332516086099459,4.3533167960792065
23,Minnesota,0.038,0.05,0.05,0.44,0.18,0.45,3.612411816,2.6504420882942132,2.297382278758896,1.8795901987323247
24,Mississippi,0.061,,0.14,0.468,0.44,0.58,0.622745989,0.14661767681358734,0.6938219319887989,1.5872511983746547
25,Missouri,0.053,0.02,0.07,0.455,0.2,0.57,1.908954989,1.7186079079533247,1.081140251594851,1.3656007796099678
26,Montana,0.041,0.01,0.1,0.435,0.1,0.57,2.954959378,1.428564625882734,0.6589109707735332,3.0318534098876317
27,Nebraska,0.029,0.05,0.07,0.432,0.21,0.6,2.68624842,2.411775897783578,1.9089423280450017,2.5370212061881254
28,Nevada,0.067,0.1,0.08,0.448,0.5,0.46,2.113990154,0.1667756823710432,1.08753252710922,1.432877971227159
29,New Hampshire,0.034,0.03,0.06,0.425,0.09,0.47,2.105988585,1.0034301875025087,0.9868992914822241,1.2180694512749382
30,New Jersey,0.056,0.11,0.07,0.464,0.44,0.42,4.413202591,5.496553050509214,6.297342319487412,5.464182285121031
31,New Mexico,0.068,0.06,0.1,0.464,0.62,0.4,1.886435184,1.2469383210866176,1.4615739167518818,6.104171346531365
32,New York,0.051,0.1,0.1,0.499,0.42,0.37,3.102164284,2.804076578721783,2.7030172701613564,3.2243467201771012
33,North Carolina,0.058,0.05,0.1,0.464,0.38,0.51,1.262679796,1.6160802712912004,1.3552684172023446,2.402675069774828
34,North Dakota,0.028,0.03,0.09,0.433,0.15,0.64,4.741069885,1.9877975732967226,1.3146650890685596,2.3620125396621274
35,Ohio,0.045,0.03,0.1,0.452,0.21,0.52,3.240420404,3.9159577752578243,3.5808989529656086,4.018134013504424
36,Oklahoma,0.044,0.04,0.1,0.454,0.35,0.65,1.08167215,0.9448148941641337,0.5523047816614929,0.7095413803265969
37,Oregon,0.062,0.07,0.1,0.449,0.26,0.41,3.394886113,3.741163742793455,2.940453083949686,4.314511625636483
38,Pennsylvania,0.053,0.03,0.09,0.461,0.24,0.49,0.43092759,0.6126979289238983,0.5270522134895002,0.3257718508489336
39,Rhode Island,0.054,0.08,0.08,0.467,0.28,0.4,1.282571834,1.0380893870459655,1.2307331098448235,1.6063057895985087
40,South Carolina,0.057,0.03,0.09,0.461,0.36,0.55,1.937082833,1.7412077016618728,2.237831488869611,1.3381380360226758
41,South Dakota,0.035,,0.08,0.442,0.17,0.62,3.301737127,2.127438576468277,2.479728221786892,2.356439796497859
42,Tennessee,0.057,0.04,0.13,0.468,0.27,0.61,3.13605115,2.0250197141625117,2.5232761088945037,1.7128717480690667
43,Texas,0.042,0.11,0.08,0.469,0.56,0.53,0.752768305,0.6762313300537774,1.6340011286458784,1.5786374897531368
44,Utah,0.036,0.04,0.08,0.419,0.19,0.47,2.384065044,2.552083776403433,1.0754832830789327,0.5849197928734022
45,Vermont,0.037,0.01,0.1,0.444,0.06,0.33,1.90308139,5.4517146444279465,7.1317632888522615,5.249226932033646
46,Virginia,0.043,0.06,0.07,0.459,0.38,0.45,1.724754584,2.279237539538276,1.6803582570807125,1.9100911875189253
47,Washington,0.052,0.08,0.09,0.441,0.31,0.38,3.817740296,6.895464487952271,6.765286539299229,7.1431612073102215
48,West Virginia,0.073,0.01,0.14,0.451,0.07,0.69,2.037053631,1.9483890593554731,2.732264742474517,1.9682814617093063
49,Wisconsin,0.043,0.03,0.09,0.43,0.22,0.48,1.121944651,0.7976092529609076,0.9015631718379405,1.2735128768501003
50,Wyoming,0.04,0.02,0.09,0.423,0.15,0.7,0.26694076,0.7231324652128088,0.0,0.9752044516132807
